Column|suffix|Analysis_Column|OriginalColumn|Format|QuestionText|dtcode
q41_1||q41_1|q41_1|NUMBER|Asia Pacific - Non-listed/ commingled real estate funds/private REITs|7_1
q41_2||q41_2|q41_2|NUMBER|Asia Pacific - Separate accounts investing directly into real estate|7_2
q41_3||q41_3|q41_3|NUMBER|Asia Pacific - Separate accounts investing into indirect vehicles|7_3
q41_4||q41_4|q41_4|NUMBER|Asia Pacific - Joint ventures and club deals|7_4
q41_5||q41_5|q41_5|NUMBER|Asia Pacific - Funds of funds|7_5
q41_6||q41_6|q41_6|NUMBER|Asia Pacific - Non-listed debt products|7_6
q4ROW1_Total||q4ROW1_hidden|q4ROW1_Total|NUMBER|Asia Pacific - TOTAL VEHICLES|7_7
q42_1||q42_1|q42_1|NUMBER|Europe - Non-listed/ commingled real estate funds/private REITs|7_8
q42_2||q42_2|q42_2|NUMBER|Europe - Separate accounts investing directly into real estate|7_9
q42_3||q42_3|q42_3|NUMBER|Europe - Separate accounts investing into indirect vehicles|7_10
q42_4||q42_4|q42_4|NUMBER|Europe - Joint ventures and club deals|7_11
q42_5||q42_5|q42_5|NUMBER|Europe - Funds of funds|7_12
q42_6||q42_6|q42_6|NUMBER|Europe - Non-listed debt products|7_13
q4ROW2_Total||q4ROW2_hidden|q4ROW2_Total|NUMBER|Europe - TOTAL VEHICLES|7_14
q43_1||q43_1|q43_1|NUMBER|North America - Non-listed/ commingled real estate funds/private REITs|7_15
q43_2||q43_2|q43_2|NUMBER|North America - Separate accounts investing directly into real estate|7_16
q43_3||q43_3|q43_3|NUMBER|North America - Separate accounts investing into indirect vehicles|7_17
q43_4||q43_4|q43_4|NUMBER|North America - Joint ventures and club deals|7_18
q43_5||q43_5|q43_5|NUMBER|North America - Funds of funds|7_19
q43_6||q43_6|q43_6|NUMBER|North America - Non-listed debt products|7_20
q4ROW3_Total||q4ROW3_hidden|q4ROW3_Total|NUMBER|North America - TOTAL VEHICLES|7_21
q44_1||q44_1|q44_1|NUMBER|Global - Non-listed/ commingled real estate funds/private REITs|7_22
q44_2||q44_2|q44_2|NUMBER|Global - Separate accounts investing directly into real estate|7_23
q44_3||q44_3|q44_3|NUMBER|Global - Separate accounts investing into indirect vehicles|7_24
q44_4||q44_4|q44_4|NUMBER|Global - Joint ventures and club deals|7_25
q44_5||q44_5|q44_5|NUMBER|Global - Funds of funds|7_26
q44_6||q44_6|q44_6|NUMBER|Global - Non-listed debt products|7_27
q4ROW4_Total||q4ROW4_hidden|q4ROW4_Total|NUMBER|Global - TOTAL VEHICLES|7_28
q45_1||q45_1|q45_1|NUMBER|South America - Non-listed/ commingled real estate funds/private REITs|7_29
q45_2||q45_2|q45_2|NUMBER|South America - Separate accounts investing directly into real estate|7_30
q45_3||q45_3|q45_3|NUMBER|South America - Separate accounts investing into indirect vehicles|7_31
q45_4||q45_4|q45_4|NUMBER|South America - Joint ventures and club deals|7_32
q45_5||q45_5|q45_5|NUMBER|South America - Funds of funds|7_33
q45_6||q45_6|q45_6|NUMBER|South America - Non-listed debt products|7_34
q4ROW5_Total||q4ROW5_hidden|q4ROW5_Total|NUMBER|South America - TOTAL VEHICLES|7_35
q46_1||q46_1|q46_1|NUMBER|Africa - Non-listed/ commingled real estate funds/private REITs|7_36
q46_2||q46_2|q46_2|NUMBER|Africa - Separate accounts investing directly into real estate|7_37
q46_3||q46_3|q46_3|NUMBER|Africa - Separate accounts investing into indirect vehicles|7_38
q46_4||q46_4|q46_4|NUMBER|Africa - Joint ventures and club deals|7_39
q46_5||q46_5|q46_5|NUMBER|Africa - Funds of funds|7_40
q46_6||q46_6|q46_6|NUMBER|Africa - Non-listed debt products|7_41
q4ROW6_Total||q4ROW6_hidden|q4ROW6_Total|NUMBER|Africa - TOTAL VEHICLES|7_42
q4COL1_Total||q4COL1_hidden|q4COL1_Total|NUMBER|TOTAL VEHICLES - Non-listed/ commingled real estate funds/private REITs|7_43
q4COL2_Total||q4COL2_hidden|q4COL2_Total|NUMBER|TOTAL VEHICLES - Separate accounts investing directly into real estate|7_44
q4COL3_Total||q4COL3_hidden|q4COL3_Total|NUMBER|TOTAL VEHICLES - Separate accounts investing into indirect vehicles|7_45
q4COL4_Total||q4COL4_hidden|q4COL4_Total|NUMBER|TOTAL VEHICLES - Joint ventures and club deals|7_46
q4COL5_Total||q4COL5_hidden|q4COL5_Total|NUMBER|TOTAL VEHICLES - Funds of funds|7_47
q4COL6_Total||q4COL6_hidden|q4COL6_Total|NUMBER|TOTAL VEHICLES - Non-listed debt products|7_48
q4GRANDTotal||q4GRANDTotal_hidden|q4GRANDTotal|NUMBER|TOTAL Number of non-listed vehicles company raised institutional capital for in 2020|7_49
|||||How much institutional capital did your company raise for non-listed vehicles in 2020 by investor type (million)? |8
q51_1||q51_1|q51_1|CURRENCY|Pension funds - Non-listed/ commingled real estate funds/private REITs|8_1
q51_2||q51_2|q51_2|CURRENCY|Pension funds - Separate accounts investing directly into real estate|8_2
q51_3||q51_3|q51_3|CURRENCY|Pension funds - Separate accounts investing into indirect vehicles|8_3
q51_4||q51_4|q51_4|CURRENCY|Pension funds - Joint ventures and club deals|8_4
q51_5||q51_5|q51_5|CURRENCY|Pension funds - Funds of funds|8_5
q51_6||q51_6|q51_6|CURRENCY|Pension funds - Non-listed debt products|8_6
q5ROW1_Total||q5ROW1_hidden|q5ROW1_Total|CURRENCY|Pension funds - TOTAL|8_7
q52_1||q52_1|q52_1|CURRENCY|Insurance companies - Non-listed/ commingled real estate funds/private REITs|8_8
q52_2||q52_2|q52_2|CURRENCY|Insurance companies - Separate accounts investing directly into real estate|8_9
q52_3||q52_3|q52_3|CURRENCY|Insurance companies - Separate accounts investing into indirect vehicles|8_10
q52_4||q52_4|q52_4|CURRENCY|Insurance companies - Joint ventures and club deals|8_11
q52_5||q52_5|q52_5|CURRENCY|Insurance companies - Funds of funds|8_12
q52_6||q52_6|q52_6|CURRENCY|Insurance companies - Non-listed debt products|8_13
q5ROW2_Total||q5ROW2_hidden|q5ROW2_Total|CURRENCY|Insurance companies - TOTAL|8_14
q53_1||q53_1|q53_1|CURRENCY|Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|8_15
q53_2||q53_2|q53_2|CURRENCY|Sovereign wealth funds - Separate accounts investing directly into real estate|8_16
q53_3||q53_3|q53_3|CURRENCY|Sovereign wealth funds - Separate accounts investing into indirect vehicles|8_17
q53_4||q53_4|q53_4|CURRENCY|Sovereign wealth funds - Joint ventures and club deals|8_18
q53_5||q53_5|q53_5|CURRENCY|Sovereign wealth funds - Funds of funds|8_19
q53_6||q53_6|q53_6|CURRENCY|Sovereign wealth funds - Non-listed debt products|8_20
q5ROW3_Total||q5ROW3_hidden|q5ROW3_Total|CURRENCY|Sovereign wealth funds - TOTAL|8_21
q54_1||q54_1|q54_1|CURRENCY|Government institutions - Non-listed/ commingled real estate funds/private REITs|8_22
q54_2||q54_2|q54_2|CURRENCY|Government institutions - Separate accounts investing directly into real estate|8_23
q54_3||q54_3|q54_3|CURRENCY|Government institutions - Separate accounts investing into indirect vehicles|8_24
q54_4||q54_4|q54_4|CURRENCY|Government institutions - Joint ventures and club deals|8_25
q54_5||q54_5|q54_5|CURRENCY|Government institutions - Funds of funds|8_26
q54_6||q54_6|q54_6|CURRENCY|Government institutions - Non-listed debt products|8_27
q5ROW4_Total||q5ROW4_hidden|q5ROW4_Total|CURRENCY|Government institutions - TOTAL|8_28
q55_1||q55_1|q55_1|CURRENCY|Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|8_29
q55_2||q55_2|q55_2|CURRENCY|Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|8_30
q55_3||q55_3|q55_3|CURRENCY|Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|8_31
q55_4||q55_4|q55_4|CURRENCY|Charities, foundations, non-profit organisations - Joint ventures and club deals|8_32
q55_5||q55_5|q55_5|CURRENCY|Charities, foundations, non-profit organisations - Funds of funds|8_33
q55_6||q55_6|q55_6|CURRENCY|Charities, foundations, non-profit organisations - Non-listed debt products|8_34
q5ROW5_Total||q5ROW5_hidden|q5ROW5_Total|CURRENCY|Charities, foundations, non-profit organisations - TOTAL|8_35
q56_1||q56_1|q56_1|CURRENCY|Funds of funds - Non-listed/ commingled real estate funds/private REITs|8_36
q56_2||q56_2|q56_2|CURRENCY|Funds of funds - Separate accounts investing directly into real estate|8_37
q56_3||q56_3|q56_3|CURRENCY|Funds of funds - Separate accounts investing into indirect vehicles|8_38
q56_4||q56_4|q56_4|CURRENCY|Funds of funds - Joint ventures and club deals|8_39
q56_5||q56_5|q56_5|CURRENCY|Funds of funds - Funds of funds|8_40
q56_6||q56_6|q56_6|CURRENCY|Funds of funds - Non-listed debt products|8_41
q5ROW6_Total||q5ROW6_hidden|q5ROW6_Total|CURRENCY|Funds of funds - TOTAL|8_42
q57_1||q57_1|q57_1|CURRENCY|High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|8_43
q57_2||q57_2|q57_2|CURRENCY|High net worth individuals /Family offices - Separate accounts investing directly into real estate|8_44
q57_3||q57_3|q57_3|CURRENCY|High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|8_45
q57_4||q57_4|q57_4|CURRENCY|High net worth individuals /Family offices - Joint ventures and club deals|8_46
q57_5||q57_5|q57_5|CURRENCY|High net worth individuals /Family offices - Funds of funds|8_47
q57_6||q57_6|q57_6|CURRENCY|High net worth individuals /Family offices - Non-listed debt products|8_48
q5ROW7_Total||q5ROW7_hidden|q5ROW7_Total|CURRENCY|High net worth individuals /Family offices - TOTAL|8_49
q5other||q5other|q5other|TEXT|Other investor type (Other)|8_50
q58_1||q58_1|q58_1|CURRENCY|Other - Non-listed/ commingled real estate funds/private REITs|8_51
q58_2||q58_2|q58_2|CURRENCY|Other - Separate accounts investing directly into real estate|8_52
q58_3||q58_3|q58_3|CURRENCY|Other - Separate accounts investing into indirect vehicles|8_53
q58_4||q58_4|q58_4|CURRENCY|Other - Joint ventures and club deals|8_54
q58_5||q58_5|q58_5|CURRENCY|Other - Funds of funds|8_55
q58_6||q58_6|q58_6|CURRENCY|Other - Non-listed debt products|8_56
q5ROW8_Total||q5ROW8_hidden|q5ROW8_Total|CURRENCY|Other - TOTAL|8_57
q5COL1_Total||q5COL1_hidden|q5COL1_Total|CURRENCY|TOTAL - Non-listed/ commingled real estate funds/private REITs|8_58
q5COL2_Total||q5COL2_hidden|q5COL2_Total|CURRENCY|TOTAL - Separate accounts investing directly into real estate|8_59
q5COL3_Total||q5COL3_hidden|q5COL3_Total|CURRENCY|TOTAL - Separate accounts investing into indirect vehicles|8_60
q5COL4_Total||q5COL4_hidden|q5COL4_Total|CURRENCY|TOTAL - Joint ventures and club deals|8_61
q5COL5_Total||q5COL5_hidden|q5COL5_Total|CURRENCY|TOTAL - Funds of funds|8_62
q5COL6_Total||q5COL6_hidden|q5COL6_Total|CURRENCY|TOTAL - Non-listed debt products|8_63
q5GRANDTotal||q5GRANDTotal_hidden|q5GRANDTotal|CURRENCY|TOTAL raised for non-listed vehicles in 2020 by investor type|8_64
|||||How much institutional capital did your company raise for non-listed vehicles in 2020 by investor domicile (million)?|9
q61_1||q61_1|q61_1|CURRENCY|Asia Pacific - Non-listed/ commingled real estate funds/private REITs|9_1
q61_2||q61_2|q61_2|CURRENCY|Asia Pacific - Separate accounts investing directly into real estate|9_2
q61_3||q61_3|q61_3|CURRENCY|Asia Pacific - Separate accounts investing into indirect vehicles|9_3
q61_4||q61_4|q61_4|CURRENCY|Asia Pacific - Joint ventures and club deals|9_4
q61_5||q61_5|q61_5|CURRENCY|Asia Pacific - Funds of funds|9_5
q61_6||q61_6|q61_6|CURRENCY|Asia Pacific - Non-listed debt products|9_6
q6ROW1_Total||q6ROW1_hidden|q6ROW1_Total|CURRENCY|Asia Pacific - TOTAL|9_7
q62_1||q62_1|q62_1|CURRENCY|Europe - Non-listed/ commingled real estate funds/private REITs|9_8
q62_2||q62_2|q62_2|CURRENCY|Europe - Separate accounts investing directly into real estate|9_9
q62_3||q62_3|q62_3|CURRENCY|Europe - Separate accounts investing into indirect vehicles|9_10
q62_4||q62_4|q62_4|CURRENCY|Europe - Joint ventures and club deals|9_11
q62_5||q62_5|q62_5|CURRENCY|Europe - Funds of funds|9_12
q62_6||q62_6|q62_6|CURRENCY|Europe - Non-listed debt products|9_13
q6ROW2_Total||q6ROW2_hidden|q6ROW2_Total|CURRENCY|Europe - TOTAL|9_14
q63_1||q63_1|q63_1|CURRENCY|North America - Non-listed/ commingled real estate funds/private REITs|9_15
q63_2||q63_2|q63_2|CURRENCY|North America - Separate accounts investing directly into real estate|9_16
q63_3||q63_3|q63_3|CURRENCY|North America - Separate accounts investing into indirect vehicles|9_17
q63_4||q63_4|q63_4|CURRENCY|North America - Joint ventures and club deals|9_18
q63_5||q63_5|q63_5|CURRENCY|North America - Funds of funds|9_19
q63_6||q63_6|q63_6|CURRENCY|North America - Non-listed debt products|9_20
q6ROW3_Total||q6ROW3_hidden|q6ROW3_Total|CURRENCY|North America - TOTAL|9_21
q64_1||q64_1|q64_1|CURRENCY|South America - Non-listed/ commingled real estate funds/private REITs|9_22
q64_2||q64_2|q64_2|CURRENCY|South America - Separate accounts investing directly into real estate|9_23
q64_3||q64_3|q64_3|CURRENCY|South America - Separate accounts investing into indirect vehicles|9_24
q64_4||q64_4|q64_4|CURRENCY|South America - Joint ventures and club deals|9_25
q64_5||q64_5|q64_5|CURRENCY|South America - Funds of funds|9_26
q64_6||q64_6|q64_6|CURRENCY|South America - Non-listed debt products|9_27
q6ROW4_Total||q6ROW4_hidden|q6ROW4_Total|CURRENCY|South America - TOTAL|9_28
q65_1||q65_1|q65_1|CURRENCY|Africa - Non-listed/ commingled real estate funds/private REITs|9_29
q65_2||q65_2|q65_2|CURRENCY|Africa - Separate accounts investing directly into real estate|9_30
q65_3||q65_3|q65_3|CURRENCY|Africa - Separate accounts investing into indirect vehicles|9_31
q65_4||q65_4|q65_4|CURRENCY|Africa - Joint ventures and club deals|9_32
q65_5||q65_5|q65_5|CURRENCY|Africa - Funds of funds|9_33
q65_6||q65_6|q65_6|CURRENCY|Africa - Non-listed debt products|9_34
q6ROW5_Total||q6ROW5_hidden|q6ROW5_Total|CURRENCY|Africa - TOTAL|9_35
q6COL1_Total||q6COL1_hidden|q6COL1_Total|CURRENCY|TOTAL - Non-listed/ commingled real estate funds/private REITs|9_36
q6COL2_Total||q6COL2_hidden|q6COL2_Total|CURRENCY|TOTAL - Separate accounts investing directly into real estate|9_37
q6COL3_Total||q6COL3_hidden|q6COL3_Total|CURRENCY|TOTAL - Separate accounts investing into indirect vehicles|9_38
q6COL4_Total||q6COL4_hidden|q6COL4_Total|CURRENCY|TOTAL - Joint ventures and club deals|9_39
q6COL5_Total||q6COL5_hidden|q6COL5_Total|CURRENCY|TOTAL - Funds of funds|9_40
q6COL6_Total||q6COL6_hidden|q6COL6_Total|CURRENCY|TOTAL - Non-listed debt products|9_41
q6GRANDTotal||q6GRANDTotal_hidden|q6GRANDTotal|CURRENCY|TOTAL Capital Raised in 2020 for non-listed real estate|9_42
|||||What percentage of the total capital was raised via...?|10
q7_1||q7_1|q7_1|PERCENT|Placement agent|10_1
q7_2||q7_2|q7_2|PERCENT|Investors contacting you directly|10_2
q7_3||q7_3|q7_3|PERCENT|Your own direct relationship with investors|10_3
q7other||q7other|q7other|TEXT|Other (Text)|10_4
q7_4||q7_4|q7_4|PERCENT|Other|10_5
q7_Total|||q7_Total|PERCENT|TOTAL - Percentage|10_6
q8||q8|q8|SINGLE|How do you expect capital raising activities to develop over the next two years?|11
q9||q9|q9|SINGLE|What impact do you expect regulation to have on capital raising activities over the next two years?|12
q91||q91|q91|SINGLE|Would you like the name of your company to be included in the list of participants?|13
ASIA PACIFIC_apac|_apac|ASIA PACIFIC|ASIA PACIFIC|||
_apac|_apac||||For your Asia Pacific strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by investor type (million)?|14
q101_1_apac|_apac|q101_1|q101_1|CURRENCY|APAC: Pension funds - Non-listed/ commingled real estate funds/private REITs|14_1
q101_2_apac|_apac|q101_2|q101_2|CURRENCY|APAC: Pension funds - Separate accounts investing directly into real estate|14_2
q101_3_apac|_apac|q101_3|q101_3|CURRENCY|APAC: Pension funds - Separate accounts investing into indirect vehicles|14_3
q101_4_apac|_apac|q101_4|q101_4|CURRENCY|APAC: Pension funds - Joint ventures and club deals|14_4
q101_5_apac|_apac|q101_5|q101_5|CURRENCY|APAC: Pension funds - Funds of funds|14_5
q101_6_apac|_apac|q101_6|q101_6|CURRENCY|APAC: Pension funds - Non-listed debt products|14_6
q10ROW1_Total_apac|_apac|q10ROW1_hidden_APAC|q10ROW1_Total|CURRENCY|APAC: Pension funds - TOTAL|14_7
q102_1_apac|_apac|q102_1|q102_1|CURRENCY|APAC: Insurance companies - Non-listed/ commingled real estate funds/private REITs|14_8
q102_2_apac|_apac|q102_2|q102_2|CURRENCY|APAC: Insurance companies - Separate accounts investing directly into real estate|14_9
q102_3_apac|_apac|q102_3|q102_3|CURRENCY|APAC: Insurance companies - Separate accounts investing into indirect vehicles|14_10
q102_4_apac|_apac|q102_4|q102_4|CURRENCY|APAC: Insurance companies - Joint ventures and club deals|14_11
q102_5_apac|_apac|q102_5|q102_5|CURRENCY|APAC: Insurance companies - Funds of funds|14_12
q102_6_apac|_apac|q102_6|q102_6|CURRENCY|APAC: Insurance companies - Non-listed debt products|14_13
q10ROW2_Total_apac|_apac|q10ROW2_hidden_APAC|q10ROW2_Total|CURRENCY|APAC: Insurance companies - TOTAL|14_14
q103_1_apac|_apac|q103_1|q103_1|CURRENCY|APAC: Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|14_15
q103_2_apac|_apac|q103_2|q103_2|CURRENCY|APAC: Sovereign wealth funds - Separate accounts investing directly into real estate|14_16
q103_3_apac|_apac|q103_3|q103_3|CURRENCY|APAC: Sovereign wealth funds - Separate accounts investing into indirect vehicles|14_17
q103_4_apac|_apac|q103_4|q103_4|CURRENCY|APAC: Sovereign wealth funds - Joint ventures and club deals|14_18
q103_5_apac|_apac|q103_5|q103_5|CURRENCY|APAC: Sovereign wealth funds - Funds of funds|14_19
q103_6_apac|_apac|q103_6|q103_6|CURRENCY|APAC: Sovereign wealth funds - Non-listed debt products|14_20
q10ROW3_Total_apac|_apac|q10ROW3_hidden_APAC|q10ROW3_Total|CURRENCY|APAC: Sovereign wealth funds - TOTAL|14_21
q104_1_apac|_apac|q104_1|q104_1|CURRENCY|APAC: Government institutions - Non-listed/ commingled real estate funds/private REITs|14_22
q104_2_apac|_apac|q104_2|q104_2|CURRENCY|APAC: Government institutions - Separate accounts investing directly into real estate|14_23
q104_3_apac|_apac|q104_3|q104_3|CURRENCY|APAC: Government institutions - Separate accounts investing into indirect vehicles|14_24
q104_4_apac|_apac|q104_4|q104_4|CURRENCY|APAC: Government institutions - Joint ventures and club deals|14_25
