keep|respondentId|collectorId|dateStarted|dateEnded|ipAddress|email|firstname|lastname|customData1|qcompany|qfundname|qfundstructure|universeFundID|qcurrency|qstyle|qtarget_country_strategy|qtarget_country|first_closing_year|q1|q2|q2other|q3|q4_1|q4_2|q4_3|q4_4|q4_5|q4_6|q4_7|q4_8|q5_1|q5_2|q5_3|q5_4|q5_5|q6_1|q6_2|q6_3|q6_4|q7|q8
yes|12423366934|396431383|2021-02-19 11:32:49|2021-02-19 11:34:29|195.46.228.67|||||Genesta Nordic Real Estate Fund II FCP-SIF|Genesta Nordic Real Estate Fund II FCP-SIF|Closed end|18282|EUR|Value-added|multi country||2015|No|Other (please specify)|No capital raising required|||||||||||||||||||Increase|No
yes|12423295579|396431383|2021-02-19 11:03:32|2021-02-19 11:06:03|92.18.75.212|||||Hearthstone Investment Management|Hearthstone Residential Fund 2|Closed end|19618|GBP|Core|single country|United Kingdom|2020|Yes|||97|97||||||||97|||||||100||Increase|Yes
yes|12421772543|396431383|2021-02-18 22:33:45|2021-02-18 22:36:13|208.127.241.147|||||Prologis|Prologis Targeted U.S. Logistics Fund, L.P.|Open end|US||||||Yes|||896|393|171|||138|48||146|248|173|475|||||100||Increase|Yes
yes|12421765094|396431383|2021-02-18 22:30:48|2021-02-18 22:33:08|208.127.241.147|||||Prologis|Prologis China Core Logistics Fund, LP|Open end|Asia||||||Yes|||81|21|60|||||||21|60||||||100||Increase|Yes
yes|12421616781|396431383|2021-02-18 21:48:16|2021-02-18 21:52:15|208.127.241.147|||||Prologis|Prologis European Logistics Fund, FCP-FIS|Open end|375|EUR|Core|multi country||2007|Yes|||1151|196|185|3||279|200||288|822|329||||||100||Increase|Yes
no|12421109988|396431383|2021-02-18 19:34:16|2021-02-18 19:34:33|31.186.239.207|||||b|b|Open end|#N/A|#N/A|#N/A|#N/A|#N/A|#N/A|Yes||||||||||||||||||||||
yes|12421073568|396431383|2021-02-18 19:24:27|2021-02-18 19:25:28|40.128.118.120|||||"Harbert Management Corporation (""HMC"")"|Harbert United States Real Estate Fund VII, LP|Closed end|US||||||Yes||||||||||||||||||||||
yes|12420661861|396431383|2021-02-18 17:39:12|2021-02-18 17:52:54|194.35.32.254|||||Invesco Real Estate|Invesco Real Estate - European Fund |Open end|559|EUR|Core|multi country||2008|Yes|||127|42|51||||||33|110|17||||||100||No change|Yes
yes|12420575219|396431383|2021-02-18 17:23:50|2021-02-18 17:27:19|165.225.60.57|||||Heitman|Heitman US Open-End Core Fund|Open end|US||||||Yes|||193|||80|113||||||140|53|||75||25||Increase|Yes
yes|12420559399|396431383|2021-02-18 17:20:27|2021-02-18 17:23:41|165.225.60.57|||||Heitman|Heitman Closed End Debt Fund|Closed end|Debt||||||Yes|||300||||300||||||200|100|||||100||Increase|Yes
no|12420473315|396431383|2021-02-18 16:59:12|2021-02-18 16:59:38|194.35.32.254|||||Invesco Real Estate |Invesco Real Estate - European Fund |Open end|559|EUR|Core|multi country||2008|Yes||||||||||||||||||||||
yes|12419910978|396431383|2021-02-18 14:24:31|2021-02-18 14:33:43|81.141.109.31|||||LaSalle Investment Management|Encore+|Open end|137|EUR|Core|multi country||2006|Yes|||836|316|370||||65||85|720|116||||||100||No change|Yes
yes|12419865898|396431383|2021-02-18 14:11:51|2021-02-18 14:14:37|194.35.35.254|||||Invesco Real Estate|Invesco Real Estate - European Living Fund|Open end|18125|EUR|Core|multi country||2015|Yes|||138|98|||||||40|138|||||||100||No change|Yes
yes|12419829994|396431383|2021-02-18 14:00:15|2021-02-18 14:11:31|194.35.35.254|||||Invesco Real Estate|Invesco Real Estate - European Hotel Fund|Open end|18386|EUR|Core|multi country||2017|No|Other (please specify)|Impact of COVID-19 on Hotel Sector|||||||||||||||||||No change|Yes
yes|12419575851|396431383|2021-02-18 12:36:30|2021-02-18 12:39:53|82.98.70.144|||||Savills Investment Management|Savills IM Asia Pacific Income and Growth Fund|Closed end|Asia||||||Yes|||97|95|0|0|0|0|0|0|2|97|0|0|0|0|0|0|100|0|Increase|Yes
yes|12419568357|396431383|2021-02-18 12:35:01|2021-02-18 12:36:19|82.98.70.144|||||Savills Investment Management|Savills IM European Commercial Fund|Open end|106|EUR|Core|multi country||2008|Yes|||35|0|35|0|0|0|0|0|0|35|0|0|0|0|0|0|100|0|Increase|Yes
yes|12419500482|396431383|2021-02-18 12:11:48|2021-02-18 12:34:41|82.98.70.144|||||Savills Investment Management|Savills IM European Logistics Fund 3|Open end|18125|EUR|Core|multi country||2019|Yes|||224|18|160|0|0|0|10|0|36|224|0|0|0|0|0|0|100|0|Increase|Yes
yes|12419457209|396431383|2021-02-18 11:57:02|2021-02-18 11:57:47|98.158.253.63|||||Goodman |GEP|Open end|0||||||No|Other (please specify)|N/A|||||||||||||||||||Increase|No
yes|12419440548|396431383|2021-02-18 11:50:16|2021-02-18 11:51:37|109.115.49.146|||||Savills Investment Management SGR SpA|Boccaccio - Fondo comune di investimento immobiliare di tipo chiuso|Closed end|19629|EUR|Core|single country|Italy|2007|No|Other (please specify)|End of the subscription/capital raising period|||||||||||||||||||Increase|No
yes|12419393304|396431383|2021-02-18 11:29:55|2021-02-18 11:56:40|98.158.253.63|||||Goodman|Goodman European Partnership|Open end|||||||No|Other (please specify)|Sufficient liquidity and remaining outstanding capital commitment.|||||||||||||||||||Increase|No
yes|12418297158|396431383|2021-02-18 01:56:38|2021-02-18 01:57:47|165.225.114.78|||||Lendlease|Australian Prime Property Commercial|Open end|Asia||||||No|Other (please specify)|New equity not required|||||||||||||||||||No change|No
yes|12418294451|396431383|2021-02-18 01:55:29|2021-02-18 01:56:11|165.225.114.78|||||Lendlease|Australian Prime Property Fund Industrial|Open end|Asia||||||No|Other (please specify)|New equity not required|||||||||||||||||||No change|No
yes|12418285956|396431383|2021-02-18 01:21:54|2021-02-18 01:54:58|165.225.114.74|||||Lendlease|Australian Prime Property Fund Retail|Open end|Asia||||||No|Other (please specify)|New equity not required|||||||||||||||||||No change|No
yes|12417635130|396431383|2021-02-17 21:34:20|2021-02-18 15:56:52|165.225.60.125|||||Heitman|Heitman US Closed-End Value Fund |Closed end|US||||||Yes|||577|372||||5|200||||300|277|||75||25||Increase|Yes
yes|12417590214|396431383|2021-02-17 21:17:42|2021-02-17 21:34:02|165.225.60.119|||||Heitman|Heitman Global Open-End Core Fund|Open end|Global||||||Yes|||262||||||262||||262||||||100||Increase|Yes
yes|12416514460|396431383|2021-02-17 15:50:32|2021-02-17 16:01:11|81.141.109.31|||||LaSalle Investment Management|Encore+|Open end|137|EUR|Core|multi country||2006|Yes|||836|315|371||||65||85|720|116||||||100|||
yes|12413841161|396431383|2021-02-16 19:38:39|2021-02-16 19:40:20|86.81.47.70|||||Vesteda|Vesteda Residential Fund|Open end|626|EUR|Core|single country|Netherlands|2001|No|Other (please specify)|Not necessary. Enough equity and debt facilities available.|||||||||||||||||||No change|Yes
yes|12413268384|396431383|2021-02-16 16:25:42|2021-02-16 16:27:19|80.247.60.10|||||M&G Plc|M&G European Secured Property Income Fund|Open end|321|EUR|Core|multi country||2006|Yes|||33|33||||||||33||||||||100|Increase|No
yes|12413258077|396431383|2021-02-16 16:22:24|2021-02-16 16:25:31|80.247.61.10|||||M&G Plc|M&G Secured Lease Income Fund|Open end|0||||||Yes|||90|90||||||||90||||||||100|Increase|No
yes|12413179133|396431383|2021-02-16 15:57:53|2021-02-16 16:05:11|80.247.61.10|||||M&G Plc|M&G Secured Property Income Fund|Open end|585|GBP|Core|single country|United Kingdom|2007|Yes|||15|15||||||||15||||||||100|Increase|No
yes|12412320947|396431383|2021-02-16 10:01:51|2021-02-16 10:06:27|185.69.116.107|||||CBRE Global Investors|NN Direct Real Estate Engine|Open end|17691||Core|multi country||1971|No|Other (please specify)|New investments sourced out of disposals|||||||||||||||||||No change|No
yes|12412300814|396431383|2021-02-16 09:44:43|2021-02-16 09:53:24|185.69.116.106|||||CBRE Global Investors|CBRE Dutch Residential Fund|Open end|18277|EUR|Core|single country|Netherlands|2017|Yes|||80|80||||||||80|||||100|||||
yes|12409586102|396431383|2021-02-15 09:21:07|2021-02-15 09:21:37|178.78.218.98|||||Areim AB|Areim Fastigheter 4 (D) AB|Closed end|18631|SEK|Value-added|multi country||2018|No|Other (please specify)|No capital raised in 2020, final closing was in December 2019.|||||||||||||||||||Increase|Yes
yes|12409561070|396431383|2021-02-15 09:06:03|2021-02-15 09:20:35|178.78.218.98|||||Areim AB|Areim Fastigheter 4 (EQ) AB|Closed end|18616|SEK|Value-added|multi country||2018|No|Other (please specify)|No capital raised in 2020, final closing was in December 2019.|||||||||||||||||||Increase|Yes
no|12404714986|396431383|2021-02-12 11:04:00|2021-02-12 15:31:28|194.35.34.254|||||Invesco Real Estate|hi|Open end|#N/A|#N/A|#N/A|#N/A|#N/A|#N/A|Yes|Other (please specify)|covid||||||||||||||||||||
yes|12404557351|396431383|2021-02-08 10:55:59|2021-02-15 11:45:58|217.150.152.145|||||Union Investment Real Estate GmbH|Real Estate Funds|Open end|aggregated||||||Yes|||783|9|43|0|0|1|316|0|408|777|0|0|0|0|0|0|100|0|Increase|Yes
yes|12403830202|396431383|2021-02-12 08:05:18|2021-02-12 08:06:49|95.116.39.169|||||Quantum Immobilien Kapitalverwaltungsgesellschaft|Habitare|Open end|222|EUR|Core|single country|Germany|2006|No||||||||||||||||||||||
yes|12401970848|396431383|2021-02-11 17:10:46|2021-02-11 17:12:07|194.140.225.246|||||AEW UK Investment Management LLP|AEW UK Urban Real Estate Fund|Closed end||GBP|Value-added|single country|United Kingdom|2019|No|Other (please specify)|Still in capital raising phase|||||||||||||||||||Increase|No
yes|12401964538|396431383|2021-02-11 16:51:31|2021-02-11 17:10:05|194.140.225.246|||||AEW UK Investment Management LLP|AEW UK Real Return Fund|Open end||GBP|Core|single country|United Kingdom|2016|Yes|||10|10||||||||10|||||||100||Increase|No
yes|12401919395|396431383|2021-02-11 16:53:34|2021-02-11 17:06:38|194.140.225.246|||||AEW UK Investment Management LLP|AEW UK Core Property Fund|Open end|17200|GBP|Core|single country|United Kingdom|2012|Yes|||5|5||||||||5|||||||100||Increase|No
yes|12399332344|396431383|2021-02-10 20:14:00|2021-02-10 20:14:33|69.52.66.36|||||BlackRock Investment Management (UK) Limited|BlackRock UK Property Fund|Open end|57|GBP|Core|single country|United Kingdom|1982|No|Other (please specify)|The Fund is most actively traded in the secondary market.|||||||||||||||||||Increase|Yes
yes|12399329650|396431383|2021-02-10 20:13:04|2021-02-10 20:13:39|69.52.66.36|||||BlackRock Investment Management (UK) Limited|BlackRock UK Property Fund|Open end|57|GBP|Core|single country|United Kingdom|1982|No|Other (please specify)|The Fund is most actively traded in the secondary market.|||||||||||||||||||Increase|No
yes|12399324038|396431383|2021-02-10 20:10:58|2021-02-10 20:11:53|69.52.66.38|||||BlackRock Investment Management (UK) Limited|BlackRock UK Long Lease Property Fund|Open end||GBP|Core|single country|United Kingdom|2013|No|Other (please specify)|The Fund was not actively fundraising in 2020. Trades took place on the secondary market.|||||||||||||||||||Increase|Yes
yes|12398521067|396431383|2021-02-10 16:10:15|2021-02-10 16:18:05|178.201.125.228|||||Hahn Group|HAHN German Mixed-Used Fund II|Closed end|||||||Yes|||63|23|40|||||||100|||||||100||No change|Yes
yes|12398513838|396431383|2021-02-10 16:08:39|2021-02-10 16:10:04|178.201.125.228|||||Hahn Group|Hahn German Retail Fund IV|Open end||EUR|Core|single country|Germany|2020|Yes|||100|100||||||||100|||||||100||No change|Yes
yes|12398506922|396431383|2021-02-10 16:04:37|2021-02-10 16:07:50|178.201.125.228|||||Hahn Group|HAHN German Retail Fund II|Open end|18216|EUR|Core|single country|Germany|2017|Yes|||8|8||||||||100||||||100|||No change|Yes
yes|12398490317|396431383|2021-02-10 16:01:57|2021-02-10 16:03:55|178.201.125.228|||||Hahn Group|HAHN Individual 2|Open end|||||||Yes|||200||200|||||||200|||||||100||No change|Yes
yes|12398167688|396431383|2021-02-10 14:27:26|2021-02-10 14:29:10|37.71.10.34|||||Stam Europe|Opera|Closed end|19271|EUR|Core|single country|France|2018|No|Other (please specify)|Scarcity of investment opportunity|||||||||||||||||||Increase|Yes
yes|12397725727|396431383|2021-02-10 11:17:05|2021-02-10 11:19:11|62.216.203.240|||||Savills Investment Management|Savills IM European Food Retail Fund|Open end|launched in 2021||||||Yes|||109|30|62||||||17|109|||||||100||Increase|Yes
yes|12397724611|396431383|2021-02-10 11:16:26|2021-02-10 11:16:57|62.216.203.240|||||Savills Investment Management|Savills IM European Retail Fund|Closed end|628|EUR|Core|multi country||2012|No|Other (please specify)|The Fund is closed to new investors|||||||||||||||||||Increase|Yes
yes|12397723091|396431383|2021-02-10 11:15:06|2021-02-10 11:16:12|62.216.203.240|||||Savills Investment Management|Savills IM European Logistics Fund 2|Open end|18125|EUR|Core|multi country||2015|No|Other (please specify)|The Fund is closed to new investors|||||||||||||||||||Increase|Yes
yes|12396228154|396431383|2021-02-09 21:53:07|2021-02-09 21:57:15|86.145.167.249|||||BC Partners|BC Partners European Real Estate I|Closed end|19620|EUR|Value-added|multi country||2019|Yes|||129||15|110||||4||19|110||||||100||Increase|Yes
yes|12395085990|396431383|2021-02-09 16:04:24|2021-02-09 16:23:13|194.140.225.246|||||AEW|SELF III|Closed end|debt fund||||||Yes|||75||10|65||||||75|||||||100||Increase|Yes
yes|12395071192|396431383|2021-02-09 16:01:24|2021-02-09 16:04:03|194.140.225.246|||||AEW|EUROCORE|Open end|19359|EUR|Core|multi country||2019|Yes|||410|350|5||||||55|405|5||||||93|7|Increase|Yes
yes|12395028124|396431383|2021-02-09 15:50:03|2021-02-09 15:52:32|195.46.228.67|||||Genesta|Genesta Nordic Real Estate Fund II FCP-SIF|Closed end|18282|EUR|Value-added|multi country||2015|No||||||||||||||||||||||
yes|12394350710|396431383|2021-02-09 11:37:00|2021-02-09 11:44:56|82.50.139.104|||||Optimum Asset Management S.A.|German Real Estate Fund IV|Closed end|19626||Core|single country|Germany|2019|Yes|||50|10|||||40|||50|||||||100||Increase|Yes
yes|12394349771|396431383|2021-02-09 11:36:38|2021-02-09 11:36:55|82.50.139.104|||||Optimum Asset Management S.A.|Optimum Evolution Fund SIF - Property III|Closed end|19625||Core|single country|Germany|2014|No|Corporate governance framework||||||||||||||||||||Increase|Yes
yes|12394347654|396431383|2021-02-09 11:34:06|2021-02-09 11:36:15|82.50.139.104|||||Optimum Asset Management S.A.|Optimum Evolution Fund SIF - Property II|Closed end|19623||Core|single country|Germany|2011|No|Corporate governance framework||||||||||||||||||||Increase|Yes
yes|12394148316|396431383|2021-02-09 09:45:11|2021-02-09 10:29:43|188.149.165.242|||||Areim AB|Areim Fund III|Closed end|17720|SEK|Value-added|multi country||2015|Yes|||4|1|1||2|||||3|1||||||100||Increase|No
yes|12391608939|396431383|2021-02-08 15:01:48|2021-02-08 15:02:54|194.35.32.254|||||Invesco Real Estate |Invesco Real Estate - European Fund |Open end|559|EUR|Core|multi country||2008|Yes||||||||||||||||||||||
yes|12386450134|396431383|2021-02-05 19:12:08|2021-02-05 19:20:29|92.234.118.213|||||ICG plc|ICG European Sales and Leaseback Fund I|Closed end|launched in 2021||||||Yes|||415|361|54|||||||128||287|||||100||Increase|Yes
yes|12385088736|396431383|2021-02-05 10:56:38|2021-02-05 10:57:43|213.52.102.79|||||DNB REIM|DNB Scandinavian Property Fund|Open end|17499|NOK|Core|multi country||2007|No|Other (please specify)|Covid 19|||||||||||||||||||Increase|Yes
yes|12385087627|396431383|2021-02-05 10:55:34|2021-02-05 10:56:25|213.52.102.79|||||DNB REIM|DNB Scandinavian Property Fund|Open end|17499|NOK|Core|multi country||2007|Yes||||||||||||||||||||||
yes|12383203508|396431383|2021-02-04 19:43:34|2021-02-04 19:44:39|40.128.118.120|||||"Harbert Management Corporation (""HMC"")"|Harbert European Real Estate Fund V|Closed end|19580|EUR|Value-added|multi country||2017|No|Other (please specify)|The fund isn't raising capital anymore||||||||||||||||||||
yes|12382623162|396431383|2021-02-04 16:37:44|2021-02-04 16:52:30|89.99.187.29|||||GLP Management|GLP Europe Income Partners II SCSp|Closed end|19653|EUR|Core|multi country||2020|Yes|||1382|961|171|250||||||478|904||||27||73||Increase|Yes
yes|12382489487|396431383|2021-02-04 15:57:21|2021-02-04 15:58:41|40.128.118.120|||||"Harbert Management Corporation (""HMC"")"|Harbert European Real Estate Fund V|Closed end|19580|EUR|Value-added|multi country||2017|No||||||||||||||||||||||
yes|12382442676|396431383|2021-02-04 15:43:03|2021-02-04 15:44:43|109.118.87.103|||||Optimum Asset Management S.A.|Optimum Evolution Fund SIF - Property II|Closed end|19623||Core|single country|Germany|2011|No|Corporate governance framework|||||||||||||||||||||
yes|12379512943|396431383|2021-02-03 17:58:11|2021-02-03 18:32:22|194.35.33.254|||||Invesco Real Estate|Invesco Real Estate - Global Direct Real Estate Fund|Open end|GLOBAL||||||Yes|||30||||||30|||30||||||||100|Increase|Yes
yes|12379481996|396431383|2021-02-03 17:53:25|2021-02-03 17:57:59|194.35.33.254|||||Invesco Real Estate|Invesco Real Estate - UK Residential Fund FCP-RAIF|Open end|19586|GBP|Core|single country|United Kingdom|2016|Yes|||6150000|4500000|||||1650000|||6150000|||||||100||Increase|Yes
yes|12378281166|396431383|2021-02-03 11:56:54|2021-02-03 11:58:04|51.105.28.107|||||Frogmore|Frogmore Real Estate Partners IV|Closed end|19701||Value-added|single country|United Kingdom|2019|Yes|||10|||||10||||||10|||||100||Increase|Yes
yes|12378275082|396431383|2021-02-03 11:52:49|2021-02-03 11:54:44|51.105.28.107|||||Frogmore|Frogmore Real Estate Partners IV|Closed end|19701||Value-added|single country|United Kingdom|2019|Yes||||||||||||||||||||||
yes|12378164773|396431383|2021-02-03 11:09:04|2021-02-03 11:10:05|213.207.106.179|||||Altera Vastgoed|Altera Retail|Open end|27|EUR|Core|single country|Netherlands|2000|Yes|||38|3|||||35||||||||90||10||Increase|Yes
yes|12378156762|396431383|2021-02-03 11:05:55|2021-02-03 11:08:47|213.207.106.179|||||Altera Vastgoed|Altera Residential|Open end|26|EUR|Core|single country|Netherlands|2000|Yes|||209|186810000|970000|1300000|||20000000|||209080000|||||||100||Increase|Yes
yes|12372012155|396431383|2021-02-01 13:50:19|2021-02-01 14:50:39|217.150.152.145|||||Union Investment Real Estate GmbH|Real Estate Funds|Open end|aggregated||||||Yes||||||||||||||||||||||
yes|12365341529|396431383|2021-01-29 09:41:10|2021-01-29 09:53:20|212.161.80.4|||||CapMan Real Estate|CapMan Nordic Real Estate III FCP-RAIF|Closed end|launched in 2021||||||Yes|||550|327|50|0|0|60|41|10|62|204|51|295|||15||85||Increase|Yes
yes|12363460975|396431383|2021-01-28 18:52:36|2021-01-28 18:53:02|213.205.84.210|||||sonae sierra|sierra retail ventures|Closed end|19558|EUR|Value-added|single country|Portugal|2020|No|Other (please specify)|investments monetizing stage|||||||||||||||||||Decrease|Yes
yes|12363458858|396431383|2021-01-28 18:52:00|2021-01-28 18:52:30|213.205.84.210|||||sonae sierra|iberia coop|Closed end|18106|EUR|Core|multi country||2016|No|Other (please specify)|investment period has elapsed|||||||||||||||||||Decrease|Yes
yes|12363455099|396431383|2021-01-28 18:50:40|2021-01-28 18:51:53|213.205.84.210|||||sonae sierra|sierra portugal fund|Closed end|421|EUR|Core|single country|Portugal|2008|No|Other (please specify)|investments monetizing stage|||||||||||||||||||Decrease|Yes
yes|12363449210|396431383|2021-01-28 18:47:33|2021-01-28 18:50:14|213.205.84.210|||||sonae sierra|sierra prime|Closed end|415|EUR|Core|multi country||2003|Yes|||520|260|260|||||||520|||||100||||No change|Yes
yes|12363437410|396431383|2021-01-28 18:45:05|2021-01-28 18:45:38|84.85.29.243|||||Amvest Management B.V.|Amvest Living and Care Fund|Open end|19273|EUR|Core|single country|Netherlands|2016|No|Other (please specify)|Sufficient capital for coming periods|||||||||||||||||||Increase|No
yes|12363423266|396431383|2021-01-28 18:40:15|2021-01-28 18:42:15|84.85.29.243|||||Amvest Management B.V.|Amvest Residential Core Fund|Open end|16092|EUR|Core|single country|Netherlands|2010|No|Other (please specify)|Sufficient capital for coming periods and capital raising expires in 3 years after signing|||||||||||||||||||Increase|No
yes|12362733402|396431383|2021-01-28 15:17:27|2021-01-28 15:21:49|148.64.26.108|||||Aberdeen Standard Investments Deutschland AG|Aberdeen Standard German Urbanisation Property Fund|Open end|18094|EUR|Core|single country|Germany|2016|Yes|||1||||||||1|1|||||||100||Increase|No
yes|12362719255|396431383|2021-01-28 15:15:29|2021-01-28 15:16:14|217.151.193.46|||||Niam AB|Niam Core-Plus III|Closed end|19700||Core|multi country||2021|No|Other (please specify)|Expected first close Q1 2021|||||||||||||||||||Increase|Yes
yes|12362342836|396431383|2021-01-28 13:07:24|2021-01-28 13:13:04|165.225.72.125|||||AXA Investment Managers Deutschland GmbH|AXA Real Invest HPK|Open end|18178||Core|multi country||2001|Yes|||68|68||||||||68|||||||100||No change|No
yes|12362235624|396431383|2021-01-28 12:25:25|2021-01-28 12:26:12|208.127.53.106|||||Pro|s|Open end|???||||||Yes||||||||||||||||||||||
